COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,WEX,6/18/20,David,15,$8B,$171.53 ,0.70%,-0.60%,1.20%,Add WEX to your Favorites
,WEX New!,,,,,,,,,
,"CrowdStrike Holdings, Inc.",6/4/20,Tom,,$22B,$95.98 ,5.30%,-0.40%,5.70%,Add CRWD to your Favorites
,CRWD New! Now,,,,,,,,,
,Globus Medical,5/21/20,David,8,$5B,$54.59 ,-11.00%,5.20%,-16.20%,Add GMED to your Favorites
,GMED,,,,,,,,,
,"ServiceNow, Inc.",5/7/20,Tom,,$76B,$381.83 ,4.70%,7.80%,-3.10%,Add NOW to your Favorites
,NOW,,,,,,,,,
,Zoom Video Communications,4/16/20,David,8,$69B,$150.26 ,62.00%,11.10%,51.00%,Add ZM to your Favorites
,ZM,,,,,,,,,
,Shopify,4/2/20,Tom,,$105B,$346.30 ,154.40%,23.10%,131.30%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,Zoom Video Communications,3/19/20,David,8,$69B,$123.77 ,96.70%,29.20%,67.50%,Add ZM to your Favorites
,ZM,,,,,,,,,
,Luckin Coffee Inc.,3/5/20,Tom,,$967M,$41.14 ,-90.70%,3.10%,-93.80%,Add LK to your Favorites
,LK Hold,,,,,,,,,
,DexCom,2/20/20,David,9,$38B,$302.51 ,35.30%,-7.50%,42.80%,Add DXCM to your Favorites
,DXCM,,,,,,,,,
,Invitae,2/6/20,Tom,,$2B,$22.16 ,-15.60%,-6.60%,-8.90%,Add NVTA to your Favorites
,NVTA,,,,,,,,,
,Nice Systems,1/16/20,David,10,N/A Stock quote details,$176.27 ,10.60%,-5.80%,16.30%,Add NICE to your Favorites
,NICE,,,,,,,,,
,Tesla,1/2/20,Tom,,$186B,$430.26 ,132.60%,-4.00%,136.60%,TSLA is in your Favorites
,TSLA Now,,,,,,,,,
,Accenture,12/19/19,David,5,$128B,$206.57 ,-2.40%,-2.40%,0.00%,Add ACN to your Favorites
,ACN,,,,,,,,,
,HubSpot,12/5/19,Tom,,$10B,$153.55 ,43.30%,0.40%,42.80%,Add HUBS to your Favorites
,HUBS,,,,,,,,,
,Netflix,11/21/19,David,11,$200B,$311.69 ,45.60%,1.00%,44.60%,NFLX is in your Favorites
,NFLX Now Starter,,,,,,,,,
,The Trade Desk,11/7/19,Tom,,$18B,$192.75 ,104.80%,1.70%,103.10%,Add TTD to your Favorites
,TTD Now Starter,,,,,,,,,
,Neurocrine Biosciences,10/17/19,David,9,$12B,$96.85 ,33.00%,4.80%,28.30%,Add NBIX to your Favorites
,NBIX,,,,,,,,,
,Zoom Video Communications,10/3/19,Tom,,$69B,$76.83 ,216.90%,8.00%,209.00%,Add ZM to your Favorites
,ZM Now,,,,,,,,,
,SolarEdge Technologies,9/19/19,David,12,$8B,$89.42 ,71.80%,4.60%,67.20%,Add SEDG to your Favorites
,SEDG,,,,,,,,,
,Slack Technologies,9/5/19,Tom,,$19B,$30.01 ,10.40%,5.70%,4.70%,Add WORK to your Favorites
,WORK,,,,,,,,,
,Jack Henry & Associates,8/15/19,David,9,$14B,$140.46 ,29.10%,10.60%,18.40%,Add JKHY to your Favorites
,JKHY,,,,,,,,,
,Charlotte's Web,8/1/19,Tom,,$871M,$20.32 ,-77.30%,6.80%,-84.20%,Add CWBHF to your Favorites
,CWBHF,,,,,,,,,
,Zynga,7/18/19,David,12,$9B,$6.30 ,47.50%,5.40%,42.10%,Add ZNGA to your Favorites
,ZNGA Now,,,,,,,,,
,Zoom Video Communications,7/3/19,Tom,,$69B,$90.45 ,169.20%,5.40%,163.80%,Add ZM to your Favorites
,ZM Now,,,,,,,,,
,Waste Management,6/20/19,David,9,$43B,$113.95 ,-10.70%,7.00%,-17.70%,Add WM to your Favorites
,WM,,,,,,,,,
,HealthEquity,6/6/19,Tom,,$4B,$65.69 ,-8.00%,11.20%,-19.20%,Add HQY to your Favorites
,HQY,,,,,,,,,
,Synopsys,5/16/19,David,8,$28B,$123.17 ,49.80%,10.10%,39.70%,Add SNPS to your Favorites
,SNPS,,,,,,,,,
,Wix.com,5/2/19,Tom,,$12B,$136.80 ,73.10%,8.70%,64.40%,WIX is in your Favorites
,WIX,,,,,,,,,
,Zynga,4/18/19,David,12,$9B,$5.44 ,70.80%,9.20%,61.60%,Add ZNGA to your Favorites
,ZNGA Now,,,,,,,,,
,Ollie's Bargain Outlet Holdings,4/4/19,Tom,,$7B,$87.68 ,16.40%,10.20%,6.20%,Add OLLI to your Favorites
,OLLI,,,,,,,,,
,Hill-Rom Holdings,3/21/19,David,14,$7B,$105.96 ,-7.30%,11.20%,-18.60%,Add HRC to your Favorites
,HRC,,,,,,,,,
,Twilio,3/7/19,Tom,,$29B,$115.50 ,82.10%,15.60%,66.40%,TWLO is in your Favorites
,TWLO,,,,,,,,,
,Nintendo,2/21/19,David,8,"$6,018B",$34.77 ,68.50%,14.60%,53.90%,Add NTDOY to your Favorites
,NTDOY,,,,,,,,,
,Appian,2/7/19,Tom,,$4B,$34.19 ,51.40%,17.70%,33.70%,Add APPN to your Favorites
,APPN Starter,,,,,,,,,
,Hawaiian Holdings,1/17/19,David,13,$720M,$32.78 ,-52.20%,21.00%,-73.20%,Add HA to your Favorites
,HA,,,,,,,,,
,Twilio,1/3/19,Tom,,$29B,$81.25 ,158.80%,30.30%,128.50%,TWLO is in your Favorites
,TWLO,,,,,,,,,
,Telkom Indonesia,12/13/18,David,8,"$324,924B",$25.92 ,-12.00%,20.50%,-32.50%,Add TLK to your Favorites
,TLK,,,,,,,,,
,Mastercard,11/29/18,Tom,,$298B,$195.01 ,52.00%,16.80%,35.30%,Add MA to your Favorites
,MA Starter,,,,,,,,,
,Zebra Technologies,11/15/18,David,9,$14B,$178.91 ,47.80%,17.20%,30.60%,Add ZBRA to your Favorites
,ZBRA,,,,,,,,,
,Zscaler,11/1/18,Tom,,$14B,$38.96 ,178.70%,16.90%,161.80%,Add ZS to your Favorites
,ZS,,,,,,,,,
,Amazon,10/18/18,David,8,"$1,334B","$1,770.72 ",51.10%,15.80%,35.30%,AMZN is in your Favorites
,AMZN Starter,,,,,,,,,
,Square,10/4/18,Tom,,$43B,$94.49 ,3.70%,10.50%,-6.80%,SQ is in your Favorites
,SQ,,,,,,,,,
,Union Pacific,9/20/18,David,7,$114B,$157.78 ,6.40%,9.50%,-3.10%,Add UNP to your Favorites
,UNP,,,,,,,,,
