COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,STAAR Surgical,6/25/20,10,$3B,$60.01 ,,0.00%,0.00%,0.00%,Add STAA to your Favorites
,STAA New!,,,,,,,,,
,HubSpot,6/11/20,12,$10B,$221.75 ,$200.86 ,9.10%,1.70%,7.40%,Add HUBS to your Favorites
,HUBS New!,,,,,,,,,
,Livongo Health Inc,5/28/20,13,$7B,$71.55 ,$57.85 ,27.70%,0.80%,26.90%,Add LVGO to your Favorites
,LVGO,,,,,,,,,
,Quidel,5/14/20,10,$8B,$207.88 ,$185.73 ,8.00%,7.20%,0.80%,Add QDEL to your Favorites
,QDEL,,,,,,,,,
,"Beyond Meat, Inc.",4/23/20,15,$9B,$145.35 ,$99.78 ,51.70%,9.40%,42.30%,Add BYND to your Favorites
,BYND,,,,,,,,,
,DocuSign,4/9/20,13,$30B,$168.40 ,$90.63 ,80.90%,9.80%,71.10%,Add DOCU to your Favorites
,DOCU Now Starter,,,,,,,,,
,Quidel,3/26/20,10,$8B,$207.88 ,$88.97 ,125.40%,16.60%,108.80%,Add QDEL to your Favorites
,QDEL,,,,,,,,,
,CoStar Group,3/12/20,8,$27B,$706.23 ,$612.93 ,12.80%,23.70%,-10.90%,Add CSGP to your Favorites
,CSGP,,,,,,,,,
,Sea Limited,2/27/20,15,$49B,$104.32 ,$45.07 ,130.00%,3.10%,126.90%,Add SE to your Favorites
,SE,,,,,,,,,
,NextEra Energy,2/13/20,14,$118B,$239.16 ,$272.54 ,-11.30%,-8.90%,-2.40%,Add NEE to your Favorites
,NEE Starter,,,,,,,,,
,Pinterest,1/23/20,10,$14B,$22.58 ,$22.61 ,2.50%,-7.50%,10.00%,Add PINS to your Favorites
,PINS Now,,,,,,,,,
,Intuitive Surgical,1/9/20,7,$65B,$555.11 ,$585.79 ,-5.30%,-6.00%,0.70%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,Freshpet,12/19/19,10,$3B,$88.69 ,$57.84 ,50.00%,-3.90%,53.90%,Add FRPT to your Favorites
,FRPT,,,,,,,,,
,Insulet,12/5/19,14,$13B,$193.44 ,$184.23 ,4.30%,-1.10%,5.40%,Add PODD to your Favorites
,PODD,,,,,,,,,
,Peloton Interactive,11/27/19,13,$16B,$58.06 ,$32.16 ,72.70%,-2.20%,74.90%,Add PTON to your Favorites
,PTON,,,,,,,,,
,Etsy,11/14/19,11,$12B,$101.28 ,$41.84 ,134.60%,-0.30%,134.90%,Add ETSY to your Favorites
,ETSY,,,,,,,,,
,Datadog,10/24/19,10,$26B,$89.60 ,$32.50 ,172.30%,2.70%,169.60%,Add DDOG to your Favorites
,DDOG,,,,,,,,,
,Novocure,10/10/19,9,$6B,$57.20 ,$75.49 ,-21.40%,5.30%,-26.70%,Add NVCR to your Favorites
,NVCR,,,,,,,,,
,Zuora,9/26/19,9,$1B,$13.13 ,$15.99 ,-20.00%,4.00%,-24.00%,Add ZUO to your Favorites
,ZUO,,,,,,,,,
,Teladoc Health,9/12/19,10,$15B,$201.70 ,$69.05 ,185.30%,2.90%,182.40%,Add TDOC to your Favorites
,TDOC Starter,,,,,,,,,
,Fastly,8/22/19,14,$8B,$81.67 ,$24.53 ,210.10%,6.10%,204.00%,Add FSLY to your Favorites
,FSLY,,,,,,,,,
,New Oriental Education & Technology Group,8/8/19,10,$21B,$132.98 ,$104.22 ,26.80%,5.70%,21.10%,Add EDU to your Favorites
,EDU,,,,,,,,,
,Repligen,7/25/19,12,$6B,$114.52 ,$90.90 ,24.50%,3.40%,21.00%,Add RGEN to your Favorites
,RGEN,,,,,,,,,
,Roku,7/11/19,10,$15B,$123.60 ,$104.54 ,18.00%,3.60%,14.40%,Add ROKU to your Favorites
,ROKU Starter,,,,,,,,,
,Novocure,6/27/19,9,$6B,$57.20 ,$60.85 ,-2.50%,6.40%,-8.80%,Add NVCR to your Favorites
,NVCR,,,,,,,,,
,Zillow Group (A shares),6/13/19,14,$13B,$58.86 ,$45.35 ,30.10%,7.60%,22.50%,Add ZG to your Favorites
,ZG,,,,,,,,,
,Uber Technologies,5/23/19,14,$53B,$30.58 ,$40.47 ,-24.70%,10.40%,-35.20%,Add UBER to your Favorites
,UBER,,,,,,,,,
,Salesforce.com,5/9/19,8,$167B,$188.34 ,$156.31 ,18.70%,8.70%,10.00%,CRM is in your Favorites
,CRM Starter,,,,,,,,,
,ShockWave Medical,4/25/19,16,$2B,$45.48 ,$38.54 ,16.50%,6.70%,9.80%,Add SWAV to your Favorites
,SWAV,,,,,,,,,
,Five Below,4/11/19,10,$6B,$105.56 ,$133.55 ,-20.30%,8.20%,-28.50%,Add FIVE to your Favorites
,FIVE,,,,,,,,,
,Xilinx,3/28/19,7,$23B,$93.29 ,$124.15 ,-25.20%,11.00%,-36.20%,Add XLNX to your Favorites
,XLNX,,,,,,,,,
,Roku,3/14/19,10,$15B,$123.60 ,$61.82 ,99.50%,11.40%,88.20%,Add ROKU to your Favorites
,ROKU Starter,,,,,,,,,
,Redfin,2/28/19,16,$4B,$40.41 ,$19.97 ,90.70%,12.40%,78.20%,Add RDFN to your Favorites
,RDFN Now,,,,,,,,,
